id,Chance of Admit
1,0.5613637317437679
2,0.4619434040505439
3,0.4192977643106133
4,0.07246486423537135
5,0.6094296597875655
6,0.6506351418793201
7,0.5082641411572695
8,0.5328315664082766
9,0.14483222598209977
10,0.5659288021270186
11,0.8866664590314031
12,0.5419001404661685
13,0.8121891666669399
14,0.10886248061433434
15,0.9034617596771568
16,0.7804435447324067
17,0.3963201064616442
18,0.7497804434970021
19,0.3965834262780845
20,0.7973282115999609
21,0.1869651861488819
22,0.4951865386683494
23,0.8334678085520864
24,0.7591792230959982
25,0.9697923751082271
26,0.4436869842465967
27,0.5154561046510935
28,0.10887974360957742
29,0.6498347613960505
30,0.5774724066723138
31,0.6298618593718857
32,0.1915003799367696
33,0.3199618717189878
34,0.8651403044350445
35,0.5946707255207002
36,0.2684324998408556
37,0.9035594356246293
38,0.46638725348748267
39,0.7449176593217999
40,0.13809792301617563
41,0.12886883900500834
42,0.6908931490033865
43,0.5000928938388824
44,0.5568754037376493
45,0.741014480823651
46,0.7719919593073428
47,0.699202427174896
48,0.9462313049007207
49,0.8858323963358998
50,0.5727866638917476
51,0.29907862725667655
52,0.3910146434791386
53,0.2096814028918743
54,0.29872207809239626
55,0.8236000197939575
56,0.09737975453026593
57,0.3889482142403722
58,0.41260765423066914
59,0.4409523531794548
60,0.34569267043843865
61,0.3466424774378538
62,0.8621556938160211
63,0.06764874700456858
64,0.6958261320833117
65,0.9865537064615637
66,0.5357853546738625
67,0.1157001864630729
68,0.7210969382431358
69,0.6915125325322151
70,0.7257645393256098
71,0.2181992270052433
72,0.8653801761101931
73,0.05507600889541209
74,0.42150724050588906
75,0.4581239726394415
76,0.0852121643256396
77,0.8271677820011973
78,0.4883456553798169
79,0.43527914700098336
80,0.14474718179553747
81,0.488850858528167
82,0.9625884885899723
83,0.14080990082584321
84,0.7500495677813888
85,0.745475861011073
86,0.15961484075523913
87,0.8666891155298799
88,0.5301594901829958
89,0.310349621810019
90,0.1839740874711424
91,0.2118312509264797
92,0.08068082551471889
93,0.42075239517726004
94,0.2132016031537205
95,0.5308966811280698
96,0.6319520375691354
97,0.3370022119488567
98,0.8308704122900963
99,0.9855129029601812
100,0.8612992321141064
101,0.513110697036609
102,0.2424203751143068
103,0.11223697056993842
104,0.35855854814872146
105,0.5666015592869371
106,0.8537943474948406
107,0.7911544984672219
108,0.6146144205704331
109,0.4157592167612165
110,0.618773794034496
111,0.23980978829786181
112,0.21610840875655413
113,0.697774063097313
114,0.20278287050314248
115,0.5891023692674935
116,0.13888033479452133
117,0.1786072733812034
118,0.04909176495857537
119,0.0013267220929265022
120,0.3380015834700316
121,0.9481723420321941
122,0.7653387202881277
123,0.693590177455917
124,0.03364177327603102
125,0.3828399325720966
126,0.6545534448232502
127,0.225754035403952
128,0.6548531139269471
129,0.699317998951301
130,0.32197341532446444
131,0.51423016237095
132,0.8100309427827597
133,0.4547285914886743
134,0.42846223642118275
135,0.3900129278190434
136,0.34193294891156256
137,0.7015599117148668
138,0.5686708246357739
139,0.9387033150997013
140,0.3043334193062037
141,0.9710046534892172
142,0.05987343145534396
143,0.8234533483628184
144,0.30538701079785824
145,0.8820085767656565
146,0.41274969978258014
147,0.543423404218629
148,0.33502290258184075
149,0.8716886851470917
